title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ゴーストバスターズ (2020) | Trailer | Full HD | 1080p,/watch?v=g-mKLm0RggU,1635,TRAILER CITY,340000,7か月前,232599,1
レッド・スパロー (2018) | Trailer | Full HD | 1080p,/watch?v=SV8qfb-nXEI,18271,TRAILER CITY,340000,7か月前,232599,8
THE INFORMER 三秒間の死角 (2019) |Trailer | Full HD | 1080p,/watch?v=TQxKnZw2whQ,42391,TRAILER CITY,340000,8か月前,232599,18
🎥 THE MAN IN THE TRUNK (2019) | Movie Trailer | Full HD | 1080p,/watch?v=Nr2-eMdmpGg,775,TRAILER CITY,340000,8か月前,232599,0
🎥 THE CHRISTMAS CONTRACT (2018)  | Movie Trailer | Full HD | 1080p,/watch?v=doLQym76JAk,934,TRAILER CITY,340000,8か月前,232599,0
🎥 ALL I WANT FOR CHRISTMAS (2013) | Movie Trailer | Full HD | 1080p,/watch?v=2hD52yXvCc0,514,TRAILER CITY,340000,8か月前,232599,0
Overcomer (2019) | Trailer | Full HD | 1080p,/watch?v=XWmlcPo9Ewg,2469,TRAILER CITY,340000,8か月前,232599,1
🎥 LAAL KAPTAAN (2019) | Movie Trailer | Full HD | 1080p,/watch?v=iyvvQpftTjw,1282,TRAILER CITY,340000,8か月前,232599,1
🎥 WRINKLES THE CLOWN (2019) | Movie Trailer | Full HD | 1080p,/watch?v=SZNAnpYocNM,1051,TRAILER CITY,340000,8か月前,232599,0
🎥 SCANDALOUS THE TRUE STORY OF THE NATIONAL ENQUIRER (2019) | Movie Trailer | Full HD | 1080p,/watch?v=ZF0easgPFco,2431,TRAILER CITY,340000,8か月前,232599,1
シェア　私に何が起こったか (2019) | Trailer | Full HD | 1080p,/watch?v=qUGxwmSdEko,365,TRAILER CITY,340000,8か月前,232599,0
🎥 AMERICAN CHAOS (2018) | Movie Trailer | Full HD | 1080p,/watch?v=6m7Dnxdvi4Y,485,TRAILER CITY,340000,8か月前,232599,0
🎥 DARK WAS THE NIGHT (2014) | Movie Trailer | Full HD | 1080p,/watch?v=vn8oJcBHb9g,1687,TRAILER CITY,340000,8か月前,232599,1
"🎥 LIKE SUNDAY, LIKE RAIN (2014) | Movie Trailer | Full HD | 1080p",/watch?v=EBLOd-DlPYU,332,TRAILER CITY,340000,8か月前,232599,0
Search サーチ (2018) | Trailer | Full HD | 1080p,/watch?v=EcTz5lpybDY,417,TRAILER CITY,340000,8か月前,232599,0
ヴィクトリア (2015) | Trailer | Full HD | 1080p,/watch?v=8FA1UZAhdJY,783,TRAILER CITY,340000,8か月前,232599,0
🎥 WE THE ANIMALS (2018) | Movie Trailer | Full HD | 1080p,/watch?v=GOtGRl9EUGI,1548,TRAILER CITY,340000,8か月前,232599,1
🎥 PORTRAIT OF A LADY ON FIRE (2019) | Movie Trailer | Full HD | 1080p,/watch?v=njoI_iXI2ko,12603,TRAILER CITY,340000,8か月前,232599,5
🎥 THE WAVE (2019) | Movie Trailer | Full HD | 1080p,/watch?v=XsyTYqhZL7M,797,TRAILER CITY,340000,8か月前,232599,0
🎥 SCARBOROUGH (2018) | Movie Trailer | Full HD | 1080p,/watch?v=f2c9chYD4-c,8957,TRAILER CITY,340000,8か月前,232599,4
🎥 SEXTUPLETS (2019) | Movie Trailer | Full HD | 1080p,/watch?v=FnlruC311jY,5105,TRAILER CITY,340000,8か月前,232599,2
🎥 DRIVE (2018) | Movie Trailer | Full HD | 1080p,/watch?v=TQ_AnZTkk78,70071,TRAILER CITY,340000,8か月前,232599,30
🎥 MIDNIGHT FAMILY (2019)  | Movie Trailer | Full HD | 1080p,/watch?v=ZsU3f7HNfis,783,TRAILER CITY,340000,8か月前,232599,0
🎥 THE LAUNDROMAT (2019) | Movie Trailer | Full HD | 1080p,/watch?v=OaKAA3xVYHQ,294,TRAILER CITY,340000,9か月前,232599,0
🎥 THE KING (2019) | Movie Trailer | Full HD | 1080p,/watch?v=OtN3BU2IPq4,525,TRAILER CITY,340000,9か月前,232599,0
🎥 THE DISAPPEARANCE OF MY MOTHER (2019) | Movie Trailer | Full HD | 1080p,/watch?v=WNsXIAPzR-c,1007,TRAILER CITY,340000,9か月前,232599,0
🎥 ANOTHER SOUL (2018) | Movie Trailer | Full HD | 1080p,/watch?v=9ohuTyQasAQ,656,TRAILER CITY,340000,9か月前,232599,0
🎥 THE BANKER (2019) | Movie Trailer | Full HD | 1080p,/watch?v=g__8LM_i4jw,10051,TRAILER CITY,340000,9か月前,232599,4
🎥 AMERICAN SON (2019) | Movie Trailer | Full HD | 1080p,/watch?v=A8HY4o8r4pA,693,TRAILER CITY,340000,9か月前,232599,0
🎥 ANOTHER TIME (2018) | Movie Trailer | Full HD | 1080p,/watch?v=6MINLYQ3FgI,500,TRAILER CITY,340000,9か月前,232599,0
🎥 BAD BOYS FOR LIFE (2020) | Movie Trailer | Full HD | 1080p,/watch?v=RP2W205kgzQ,703,TRAILER CITY,340000,9か月前,232599,0
🎥 CHARLIE'S ANGELS (2019) | Movie Trailer | Full HD | 1080p,/watch?v=HWJsHWg1gRI,1164,TRAILER CITY,340000,9か月前,232599,1
🎥 SPECTRAL (2016) | Second Trailer | Full HD | 1080p,/watch?v=fa3O-XN7pbw,916,TRAILER CITY,340000,9か月前,232599,0
🎥  THE TRAITOR (2019) | Movie Trailer | Full HD | 1080p,/watch?v=zmmWQ3Z0J1w,5447,TRAILER CITY,340000,9か月前,232599,2
🎥  SUPPORT THE GIRLS (2018) | Movie Trailer | Full HD | 1080p,/watch?v=6Qr0YG2rJ5E,500,TRAILER CITY,340000,9か月前,232599,0
🎥 DANIEL ISN'T REAL (2019) | Movie Trailer | Full HD | 1080p,/watch?v=HNJX-8hnbZU,412,TRAILER CITY,340000,9か月前,232599,0
🎥 LADY AND THE TRAMP (2019) | Movie Trailer | Full HD | 1080p,/watch?v=1LpI3RCVn54,770,TRAILER CITY,340000,9か月前,232599,0
🎥 EL CAMINO: A BREAKING BAD MOVIE (2019) | Movie Trailer | Full HD | 1080p,/watch?v=wG1LQzUbvFA,414,TRAILER CITY,340000,9か月前,232599,0
🎥 MEMORY THE ORIGINS OF ALIEN (2019) | Movie Trailer | Full HD | 1080p,/watch?v=HY_Ue14lW5o,618,TRAILER CITY,340000,9か月前,232599,0
🎥 ELI (2019) | Movie Trailer | Full HD | 1080p,/watch?v=-3X58ekNANw,762,TRAILER CITY,340000,10か月前,232599,0
🎥 GIRL ON THE THIRD FLOOR (2019) | Movie Trailer | Full HD | 1080p,/watch?v=dkME09mbZng,22123,TRAILER CITY,340000,10か月前,232599,10
🎥 THE DAY SHALL COME (2019) | Movie Trailer | Full HD | 1080p,/watch?v=ste6pgXEoGs,1481,TRAILER CITY,340000,10か月前,232599,1
🎥 WOUNDS (2019) | Movie Trailer | Full HD | 1080p,/watch?v=gm_7y2cMUQo,16840,TRAILER CITY,340000,10か月前,232599,7
