turn_id,title,video_url,view,channel_url,channel_name,video_length,create_stamp,queriy,scrape_at,channel_country,channel_subscriber,mean_view,create_at,tag,description,like,dislike
203,JOJO的奇妙冒險OP3v2（60FPS）,/watch?v=6eIOpT5gM50,212,/channel/UCstwQcy00KtVIo9vyrYWamQ,Joker JClown,1 分 30 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
205,[JOJO的奇妙冒險]巴哈姆特彈幕也太扯...,/watch?v=xhXcU4dgEoU,22724,/channel/UC5tGlzWkjF6BsuMPjK0Vw5Q,肥宅阿匹尻尻,1 分 25 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
206,【Giorno's Theme: Il vento d'oro】JOJO的奇妙冒險 黃金之風 處刑曲│Guitar Cover,/watch?v=dy31m4LPsXM,717,/channel/UCD1KKG8CjZIZDSGUaLpedOw,DoubleG,5 分 12 秒,3 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
208,【jojo的奇妙冒險 處刑曲】布加拉提,/watch?v=JoFnTA-0Nzc,657,/channel/UCTjjmJKdAVZBTAugwpYUEWA,K-ON〆韻喵〆,2 分 2 秒,11 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
210,JoJo的奇妙冒險出現R6   /  小鮮肉定午餐肉   #8【無聊R6】,/watch?v=EQOEMzPVt8Y,207,/channel/UCu5hOIVwSxzJOhtCehRyAiA,Dark Circles黑眼圈,9 分 18 秒,3 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
213,【Naxus】暑假不可不補的經典神作—JOJO的奇妙冒險,/watch?v=SweO3vhGIPk,13969,/channel/UCIdx9iHxyLrx8Ig71agOxbw,Na xus,6 分 37 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
214,[Let's Tremor] JOJO 的奇妙冒險 黃金之風 op2 《裏切り者のレクイエム》粵語版 cover | Let's Tremor Music Time,/watch?v=5rOWziF_G5s,447,/channel/UCaK1W9TjM18NrsRWVuq0rzA,Let's Tremor,3 分 49 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
215,【惡搞】JOJO的奇妙冒險 黃金之風：護衛隊代言維大力(17秒Ver.),/watch?v=vOaIvZgO1u8,2648,/channel/UC65DJSYdS2S0bHC3xSML2gQ,淺羽葵,17 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
216,Jojo的奇妙冒險 小黃鴨dio vs 小黃鴨jorato,/watch?v=DDk6bNRf9A0,32,/channel/UCtumUa7dikVQPAj2t_yu3EA,樂在其中James,1 分 31 秒,1 日,JOJO的奇妙冒險,2020/08/28,,,,,,,,
218,《JoJo的奇妙冒險》（ジョジョの奇妙な冒険）第四部《不滅鑽石》片尾曲「Freek'n You」,/watch?v=vIKqn7iVqB4,30,/channel/UCbKxbN9u0EGlhUcWc8pWilw,Anime Sonic,1 分 19 秒,3 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
220,JoJo's Bizarre Adventure ➤ FightingGameDemon (Usa) vs actuallycyrix (Canada),/watch?v=SHKkhFhIAy0,358,/channel/UCUSATM_OaRIamPnH6Rnyg2A,Arcade Players TV,32 分 44 秒,4 日,JOJO的奇妙冒險,2020/08/28,,,,,,,,
223,貴族釋迦-JOJO的奇妙冒險之壓路機的最後,/watch?v=SuFYo9oMjkY,5603,/channel/UCLDn2oVeTf35eRebCWfQZ1A,William Wang,23 秒,4 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
224,《JOJO的奇妙冒險 不滅鑽石》影評【羅比】ジョジョの奇妙な冒険,/watch?v=JAhl72QF10Q,17822,/channel/UCJa2EA8vMd96FGGgbQh6dYw,羅比頻道,5 分 56 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
227,Jotaro vs Steely Dan | Darwing cartoons 2 | jojo的奇妙冒險 鋼鐵之丹,/watch?v=NDKHVLUD26I,10,/channel/UC_mGfakpgQmkJvYSVHAzCzw,B K,47 秒,1 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
230,【不玩也愛看】JOJO的奇妙冒險：天堂之眼,/watch?v=BEqO9ZzgWpE,1983,/user/jifenzhongDIY,jifenzhongDIY,10 分 21 秒,5 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
232,【jojo的奇妙冒險 黃金之風】黃金體驗處刑曲-手機鈴聲,/watch?v=7SOYRIelCJo,3426,/channel/UCdAxsd8k7irgvjSS-10dvkQ,mr play,31 秒,7 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
234,角色2的遊戲時間~~JOJO的奇妙冒險 來抽咯,/watch?v=hlAWHa-gS6k,167,/channel/UChLkT4MSakKkp7eTTkoLlRA,角色1 2,3 分 34 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
235,[開箱]JOJO的奇妙冒險不滅鑽石 超像可動 東方仗助 瘋狂鑽石 Set #肌肉美型男 ＃塗裝勁靚(大學廢青Lone),/watch?v=-eXVEyT-a5w,119,/channel/UCJ_ZHN79h3MIzgLcyixLamw,Lone Yung,5 分 48 秒,1 週間,JOJO的奇妙冒險,2020/08/28,,,,,,,,
239,【JUMPTI HEROES】英雄氣泡-《JoJo的奇妙冒險》最高の勇気を受け継ぐ者暗黯級AUTO隊,/watch?v=u2I4vydsj5Q,279,/user/maxchen780513,Max Channel / 睿騏,3 分 50 秒,2 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
242,《JoJo 的奇妙冒險：星塵遠征軍》12/9 (一) 起，Animax 頻道，每晚 8 點兩集連播,/watch?v=plOeXT_W2zA,13954,/user/ANIMAXTW,ANIMAXTW,31 秒,8 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
246,JoJo的奇妙冒險 處刑曲串燒 【純音樂版】,/watch?v=of2vxIcnm9U,10957,/channel/UCd7fHegaYXVH62rCvgnEYKQ,賤葆偷偷摸摸辦的小頻道,4 分 28 秒,4 週間,JOJO的奇妙冒險,2020/08/28,,,,,,,,
247,這下是單挑對決了。 - ＪＯＪＯ的奇妙冒險　天國之眼,/watch?v=fjMFUQvr-pc,21,/user/AssistantJiete,AssistantJiete,4 分 29 秒,1 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
248,旭哥抽轉蛋 JoJo的奇妙冒險-星塵遠征軍 限定承太郎 限定DIO 11名遊戲角色 必殺最強展示!!! 花京院典明 喬瑟夫.喬斯達 Iggy 波魯納雷夫 阿布德爾Jumputi Heroes英雄氣泡,/watch?v=9snrlX01JKc,704,/channel/UCBUBZgSt7NAfWszf29bSNJw,Worldkhan旭哥,7 分 25 秒,1 週間,JOJO的奇妙冒險,2020/08/28,,,,,,,,
250,GioGio's Bizarre Adventure / JOJO 的奇妙冒險 黃金的旋風 [PS2] Part2,/watch?v=Dg7HklbmJH4,58,/user/mrkin1989,KinGor SAS,1 時間 38 分 13 秒,4 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
252,Jojo的奇妙冒險,/watch?v=-3qQSV1D12Y,14,/channel/UCJ65eSr8JmL_OksOEtYFb5g,奇怪的果醬,4 分 26 秒,2 年,JOJO的奇妙冒險,2020/08/28,,,,,,,,
257,JOJO的奇妙冒險:天國之眼 03,/watch?v=_sbPWgKkKeE,2,/channel/UCzWt46wPogc50-wlf27v9_Q,Angry Susu,1 時間 1 分 11 秒,,JOJO的奇妙冒險,2020/08/28,,,,,,,,
259,JOJO的奇妙冒險:收下我最後的波紋吧!兩津!!,/watch?v=h4tgPhkcsrI,33,/channel/UCvCfPoC95uDb50IVJmYsZUg,Ben tsumi,2 分 58 秒,1 か月,JOJO的奇妙冒險,2020/08/28,,,,,,,,
